Stage,Response_Time,O_X,BallNum
1,1.557841,O,9
2,2.163743,O,29
3,0.9655221,O,17
4,0.4767751,O,45
5,0,X,36
6,0.9332864,O,52
7,0.711682,O,5
8,0.6894785,O,49
9,0.9494087,O,32
10,0.4701354,O,51
11,0.3844804,O,9
12,0.4785173,O,9
