Time,EyeLocation_x,EyeLocation_y,HeadPose_x,HeadPose_y,HeadPose_z,CheckPoint,LightOn
3.655237,NaN,NaN,5.678946,-8.193109E-12,0,,
3.687603,NaN,NaN,5.678946,-8.193109E-12,0,,
3.72275,NaN,NaN,5.678946,-8.193109E-12,0,,
3.756368,NaN,NaN,5.678946,-8.193109E-12,0,,
3.789347,NaN,NaN,5.678946,-8.193109E-12,0,,
3.823608,NaN,NaN,5.678946,-8.193109E-12,0,,
3.857318,NaN,NaN,5.678946,-8.193109E-12,0,,
3.890292,NaN,NaN,5.678946,-8.193109E-12,0,,
3.933109,NaN,NaN,5.678946,-8.193109E-12,0,,
3.965718,NaN,NaN,5.678946,-8.193109E-12,0,,
3.997764,NaN,NaN,5.678946,-8.193109E-12,0,,
4.032204,NaN,NaN,5.678946,-8.193109E-12,0,,
4.067488,NaN,NaN,5.678946,-8.193109E-12,0,,
4.099388,NaN,NaN,5.678946,-8.193109E-12,0,,
4.130337,NaN,NaN,5.678946,-8.193109E-12,0,,
4.16406,NaN,NaN,5.678946,-8.193109E-12,0,,
4.195847,NaN,NaN,5.678946,-8.193109E-12,0,,
4.226694,NaN,NaN,5.678946,-8.193109E-12,0,,
4.258562,NaN,NaN,5.678946,-8.193109E-12,0,,
4.289248,NaN,NaN,5.678946,-8.193109E-12,0,,
4.320494,NaN,NaN,5.678946,-8.193109E-12,0,,
4.352081,NaN,NaN,5.678946,-8.193109E-12,0,,
4.386248,NaN,NaN,5.678946,-8.193109E-12,0,,
4.423223,NaN,NaN,5.678946,-8.193109E-12,0,,
4.458378,NaN,NaN,5.678946,-8.193109E-12,0,,
4.490643,NaN,NaN,5.678946,-8.193109E-12,0,,
4.522105,NaN,NaN,5.678946,-8.193109E-12,0,,
4.555713,NaN,NaN,5.678946,-8.193109E-12,0,,
4.585438,NaN,NaN,5.678946,-8.193109E-12,0,,
4.618252,NaN,NaN,5.678946,-8.193109E-12,0,,
4.650291,NaN,NaN,5.678946,-8.193109E-12,0,,
4.686658,NaN,NaN,5.678946,-8.193109E-12,0,,
4.717866,NaN,NaN,5.678946,-8.193109E-12,0,,
4.748564,NaN,NaN,5.678946,-8.193109E-12,0,,
4.780547,NaN,NaN,5.678946,-8.193109E-12,0,,
4.814377,NaN,NaN,5.678946,-8.193109E-12,0,,
4.847361,NaN,NaN,5.678946,-8.193109E-12,0,,
4.882168,NaN,NaN,5.678946,-8.193109E-12,0,,
4.92344,NaN,NaN,5.678946,-8.193109E-12,0,,
4.954097,NaN,NaN,5.678946,-8.193109E-12,0,,
4.98825,NaN,NaN,5.678946,-8.193109E-12,0,,
5.021695,NaN,NaN,5.678946,-8.193109E-12,0,,
5.054492,NaN,NaN,5.678946,-8.193109E-12,0,,
5.084564,NaN,NaN,5.678946,-8.193109E-12,0,,
5.116966,NaN,NaN,5.678946,-8.193109E-12,0,,
5.148775,NaN,NaN,5.678946,-8.193109E-12,0,,
5.183215,NaN,NaN,5.678946,-8.193109E-12,0,,
5.217342,NaN,NaN,5.678946,-8.193109E-12,0,,
5.25027,NaN,NaN,5.678946,-8.193109E-12,0,,
5.282042,NaN,NaN,5.678946,-8.193109E-12,0,,
5.320457,NaN,NaN,5.678946,-8.193109E-12,0,,
5.353148,NaN,NaN,5.678946,-8.193109E-12,0,,
5.38222,NaN,NaN,5.678946,-8.193109E-12,0,,
5.418355,NaN,NaN,5.678946,-8.193109E-12,0,,
